command line: ../SSG/exact-counting_pcap.py vpp_generator_capture.pcap vpp_generator_capture_ref.txt --parsing_mode 1
simulation time: 0:05:22.802926
==========================================
Global HLL: 186198 722
cardinality_count	key	ratio_cardinality		||	elephant_count	ratio_elephant	|	overMinRank	ratio_overMinRank
==========VVV=============
239 	 11.12.33.216 	 0.128		||	13909 	 0.0704	|	408 	 2.93
239 	 11.12.33.217 	 0.128		||	13910 	 0.0704	|	521 	 3.75
239 	 11.12.33.210 	 0.128		||	13906 	 0.0704	|	467 	 3.36
239 	 11.12.33.211 	 0.128		||	13907 	 0.0704	|	641 	 4.61
239 	 11.12.33.212 	 0.128		||	13906 	 0.0704	|	577 	 4.15
239 	 11.12.33.213 	 0.128		||	13907 	 0.0704	|	408 	 2.93
239 	 11.12.33.218 	 0.128		||	13911 	 0.0704	|	468 	 3.36
239 	 11.12.33.219 	 0.128		||	13912 	 0.0704	|	527 	 3.79
239 	 11.12.34.169 	 0.128		||	13903 	 0.0704	|	524 	 3.77
239 	 11.12.34.168 	 0.128		||	13902 	 0.0704	|	468 	 3.37
239 	 11.12.34.161 	 0.128		||	13906 	 0.0704	|	236 	 1.7
239 	 11.12.34.160 	 0.128		||	13908 	 0.0704	|	292 	 2.1
239 	 11.12.34.163 	 0.128		||	13906 	 0.0704	|	639 	 4.6
